League,BEL D1,ENG LCH,ENG PR,FRA D1,GER D1,GER D2,HOL D1,ITA D1,JPN D1,SPA D1
GER D2,0,0,0,0,0,1,0,0,0,0
ENG PR,0,0,1,0,0,0,0,0,0,0
ENG LCH,0,1,0,0,0,0,0,0,0,0
GER D1,0,0,0,0,1,0,0,0,0,0
JPN D1,0,0,0,0,0,0,0,0,1,0
SPA D1,0,0,0,0,0,0,0,0,0,1
ITA D1,0,0,0,0,0,0,0,1,0,0
HOL D1,0,0,0,0,0,0,1,0,0,0
FRA D1,0,0,0,1,0,0,0,0,0,0
BEL D1,1,0,0,0,0,0,0,0,0,0
德乙,0,0,0,0,0,1,0,0,0,0
英超,0,0,1,0,0,0,0,0,0,0
英冠,0,1,0,0,0,0,0,0,0,0
德甲,0,0,0,0,1,0,0,0,0,0
日职联,0,0,0,0,0,0,0,0,1,0
西甲,0,0,0,0,0,0,0,0,0,1
意甲,0,0,0,0,0,0,0,1,0,0
荷甲,0,0,0,0,0,0,1,0,0,0
法甲,0,0,0,1,0,0,0,0,0,0
比甲,1,0,0,0,0,0,0,0,0,0
